,Boat Type,Manufacturer,Type,Year Built,Price (EUR),Length,Width,Material,Number of views last 7 days,Location
8644,Cabin Boat,,Used boat,1982,34750,7.2,2.95,GRP,118,Netherlands
8645,Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",1990,37500,7.6,2.43,GRP,371,Switzerland
8649,Sport Boat,Eolo power boats,new boat from stock,2019,34500,8.3,2.55,,124,Italy
8652,Classic,,"Used boat,Diesel",1926,34500,15.53,2.7,Steel,101,Netherlands
8654,Trawler,Blom power boats,Used boat,1966,34500,12.0,3.65,Steel,142,Netherlands
8655,Bowrider,Rinker power boats,"Used boat,Unleaded",2007,34500,7.98,2.57,PVC,117,Spain
8658,Motor Yacht,,Used boat,1980,34500,11.5,3.4,Steel,148,Netherlands
8659,Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",1996,34500,7.16,2.59,GRP,230,Germany
8660,Motor Yacht,,Used boat,1974,34500,10.5,3.4,Steel,144,Netherlands
8661,Trawler,,Used boat,1980,34500,12.5,3.4,Steel,197,Netherlands
8662,Pilothouse,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,34499,5.75,2.54,GRP,153,Germany
8663,Sport Boat,Quicksilver Inflatables power boats,"new boat from stock,Unleaded",2020,37100,5.75,2.36,GRP,125,Switzerland
8664,Pontoon Boat,Saver power boats,Used boat,2020,34300,7.1,2.53,GRP,153,Italy
8665,Cabin Boat,B2 Marine power boats,new boat from stock,2019,37000,5.7,2.15,,139,Switzerland
8666,Center console boat,Ganz Boats power boats,"Display Model,Electric",2020,37000,5.8,2.03,GRP,259,Switzerland
8667,Sport Boat,Boston Whaler power boats,"Used boat,Unleaded",2013,37000,5.74,2.43,GRP,233,Switzerland
8668,Fishing Boat,Thoma power boats,new boat from stock,2020,36900,6.6,2.1,GRP,147,Switzerland
8669,"Center console boat,Sport Boat,Water ski",Saver power boats,"Used boat,Unleaded",2020,36900,5.75,2.26,GRP,343,Switzerland
8671,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1996,34000,8.66,2.96,,169,Italy
8673,Sport Boat,Rand Boats power boats,"Display Model,Electric",2018,33900,5.35,2.1,GRP,154,Germany
8674,Sport Boat,B̩n̩teau power boats,"Used boat,Unleaded",2011,33900,7.2,2.51,PVC,149,France
8675,Sport Boat,B̩n̩teau power boats,Used boat,2011,33900,7.2,2.51,PVC,115,France
8676,Sport Boat,Mazury power boats,"Used boat,Unleaded",2016,33900,7.0,2.55,GRP,171,Germany
8677,Motor Yacht,Master power boats,new boat on order,2020,33840,6.3,2.68,GRP,138,France
8678,Sport Boat,Yamarin power boats,new boat from stock,2020,33765,6.3,2.35,GRP,147,Germany
8681,Bowrider,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,36400,5.73,2.29,GRP,179,Switzerland
8683,Sport Boat,Orca power boats,"Used boat,Diesel",2006,33600,7.48,2.7,GRP,236,Spain
8686,Trawler,,Used boat,1965,33500,10.4,3.0,Steel,122,Netherlands
8687,Flybridge,,"Used boat,Diesel",1989,33500,11.0,3.7,Aluminium,139,France
8690,Pontoon Boat,Performance power boats,"Used boat,Unleaded",2001,36000,7.5,2.51,GRP,338,Switzerland
8691,Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2011,36000,8.0,2.5,Plastic,799,Switzerland
8694,Sport Boat,Saver power boats,"Used boat,Unleaded",2015,35900,5.88,2.33,GRP,204,Switzerland
8695,Sport Boat,ATOMIX power boats,"Used boat,Unleaded",2012,35900,8.2,2.36,GRP,885,Switzerland
8696,Motor Yacht,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,35780,5.55,2.29,GRP,160,Switzerland
8698,Center console boat,B̩n̩teau power boats,"new boat from stock,Unleaded",2020,33025,5.96,2.26,GRP,118,Austria
8699,Bowrider,Maxima power boats,new boat from stock,2020,33015,7.2,2.5,GRP,207,Germany
8702,Pontoon Boat,Saver power boats,"Used boat,Unleaded",2020,33000,7.4,2.55,GRP,201,Italy
8704,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2017,33000,6.71,2.54,,169,France
8705,Sport Boat,Monterey power boats,Used boat,2008,33000,7.32,2.55,GRP,200,Croatia
8706,Bowrider,Capelli power boats,"new boat from stock,Unleaded",2020,33000,5.5,2.22,GRP,114,Germany
8710,Cabin Boat,Buetzfleth power boats,"Used boat,Diesel",1978,32900,9.55,3.25,GRP,104,Germany
8712,Bowrider,Chris Craft power boats,"Used boat,Unleaded",2005,32900,7.14,2.52,GRP,292,Germany
8713,"Fishing Boat,Pilothouse",,"Used boat,Diesel",2006,32900,8.7,2.5,GRP,207,Italy
8714,Sport Boat,Bayliner power boats,Used boat,2004,29950,8.1,2.87,PVC,140,United
8716,Motor Yacht,B2 Marine power boats,new boat from stock,2020,35500,7.0,2.48,GRP,166,Switzerland
8717,Sport Boat,Four Winns power boats,"Used boat,Diesel",1992,32800,8.4,2.6,GRP,130,Germany
8719,Sport Boat,Thoma power boats,new boat from stock,2020,35400,5.6,1.7,GRP,522,Switzerland
8720,Pilothouse,Saga power boats,"Used boat,Diesel",1991,35000,7.6,2.75,GRP,448,Switzerland
8721,"Cabin Boat,Motor Yacht",Sea Ray power boats,"Used boat,Unleaded",1981,35000,9.05,3.5,GRP,414,Switzerland
8722,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",2003,35000,7.26,2.54,Plastic,488,Switzerland
8725,Cabin Boat,Princess power boats,"Used boat,Diesel",1988,32590,11.28,3.68,GRP,309,Spain
8726,Pilothouse,DarekCo power boats,"new boat from stock,Unleaded",2020,34960,6.05,2.49,GRP,167,Switzerland
8727,"Bowrider,Wakeboard/Wakesurf",Moomba power boats,"Used boat,Unleaded",2011,34950,6.25,2.41,GRP,879,Switzerland
8729,Deck Boat,Marinello power boats,"new boat from stock,Unleaded",2015,32500,5.9,2.48,GRP,146,Germany
8730,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1970,32500,5.8,2.08,Wood,237,Italy
8732,Motor Yacht,Storebro power boats,"Used boat,Diesel",1981,32500,9.28,3.18,GRP,220,Germany
8734,Cabin Boat,Cranchi power boats,Used boat,2012,35000,7.51,2.83,GRP,630,Switzerland
8735,Classic,Swiss Craft power boats,"Used boat,Unleaded",1956,35000,9.0,2.8,Wood,423,Switzerland
8736,Motor Yacht,Sunseeker power boats,Used boat,1990,35000,9.42,3.3,GRP,706,Switzerland
8739,Sport Boat,Buster power boats,new boat on order,2020,34990,6.05,2.2,Aluminium,151,Switzerland
8740,Pilothouse,Nimbus power boats,"Used boat,Unleaded",1989,34900,7.9,2.6,GRP,398,Switzerland
8741,Center console boat,DarekCo power boats,"new boat from stock,Unleaded",2019,34900,5.68,2.54,GRP,110,Switzerland
8743,Bowrider,AMT power boats,new boat from stock,2018,34800,5.6,2.25,GRP,279,Switzerland
8745,Deck Boat,AW power boats,"new boat on order,Unleaded",2020,32109,6.5,2.16,Aluminium,241,Netherlands
8747,Motor Yacht,Maxum power boats,"Used boat,Unleaded",2008,32000,7.92,2.59,GRP,190,Germany
8749,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2000,32000,7.8,2.95,,198,Italy
8750,Motor Yacht,Doral power boats,"Used boat,Unleaded",2000,32000,9.15,3.09,,145,Italy
8751,Classic,Coronet power boats,"Used boat,Unleaded",1977,32000,6.45,2.45,GRP,306,Switzerland
8752,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",2014,32000,5.75,2.39,,184,France
8753,Sport Boat,Bayliner power boats,"Used boat,Diesel",1998,32000,7.99,3.5,GRP,134,Croatia
8755,Motor Yacht,,Used boat,1982,32000,11.5,3.5,Steel,132,Netherlands
8756,Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",2008,32000,7.8,2.55,GRP,188,Italy
8759,Motor Yacht,Posillipo power boats,"Used boat,Diesel",1976,32000,12.5,4.26,GRP,165,Croatia
8762,Classic,Riva power boats,Used boat,1958,32000,5.4,1.9,Wood,309,Germany
8763,Cabin Boat,Nadirmarine power boats,"Used boat,Unleaded",2011,32000,7.5,2.5,GRP,586,Italy
8764,Deck Boat,Saver power boats,"new boat from stock,Unleaded",2020,31685,5.6,2.23,GRP,228,Germany
8765,Offshore Boat,Baja power boats,"Used boat,Unleaded",1996,34200,9.1,2.5,GRP,799,Switzerland
8766,Bowrider,AMT power boats,new boat from stock,2019,34150,5.15,2.08,GRP,196,Switzerland
8770,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,31500,6.5,2.42,GRP,126,Italy
8773,Motor Yacht,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,34000,5.55,2.29,GRP,129,Switzerland
8774,Pilothouse,Windy power boats,"Used boat,Unleaded",1992,34000,7.85,2.54,GRP,351,Switzerland
8775,Pilothouse,B2 Marine power boats,new boat from stock,2020,34000,6.5,2.48,,154,Switzerland
8776,Fishing Boat,Jeanneau power boats,new boat from stock,2019,31420,6.97,2.81,,125,Italy
8779,Motor Yacht,Doral power boats,"Used boat,Unleaded",1995,33900,7.01,2.59,GRP,885,Switzerland
8780,Pontoon Boat,Sunchaser power boats,"Used boat,Unleaded",2020,33823,5.79,2.29,Aluminium,318,Switzerland
8782,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,33600,5.3,2.2,GRP,120,Switzerland
8785,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2011,31000,7.01,2.74,GRP,115,Croatia
8786,Motor Yacht,,Used boat,1905,31000,17.03,3.56,Steel,173,Belgium
8787,"Cabin Boat,Motor Yacht,Sport Boat",Crownline power boats,"Used boat,Unleaded",1999,31000,8.89,3.15,GRP,502,Croatia
8788,House Boat,,"Used boat,Diesel",1975,31000,11.5,3.2,Steel,419,Germany
8789,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,30999,6.12,2.4,GRP,114,Germany
8792,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,30499,7.23,2.55,GRP,176,Germany
8794,Runabout,Safter Marine power boats,"new boat from stock,Unleaded",2020,32900,6.3,2.1,GRP,172,Switzerland
8795,Bowrider,Yamarin power boats,new boat from stock,2020,30355,6.3,2.35,GRP,123,Germany
8796,Runabout,Marinello power boats,"new boat from stock,Unleaded",2020,32800,5.3,2.3,GRP,245,Switzerland
8798,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2012,30200,6.61,2.54,PVC,146,France
8799,Sport Boat,Boston Whaler power boats,"Used boat,Unleaded",2007,32400,5.79,2.43,GRP,315,Switzerland
8800,Cabin Boat,Princess power boats,"Used boat,Diesel",1983,27500,9.14,3.35,PVC,146,United
8803,Motor Yacht,Ranieri International power boats,"new boat from stock,Unleaded",2019,32300,5.3,2.2,GRP,183,Switzerland
8805,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1961,30000,5.45,1.9,Wood,266,Croatia
8808,Motor Yacht,,"Used boat,Diesel",1990,30000,12.0,3.0,Steel,139,Netherlands
8809,Sport Boat,Formula power boats,"Used boat,Diesel",1991,30000,11.6,3.51,PVC,184,Spain
8810,Motor Yacht,,"Used boat,Diesel",1995,30000,9.7,3.6,PVC,161,Netherlands
8811,Bowrider,Jeanneau power boats,"Used boat,Unleaded",2017,30000,6.4,2.48,PVC,107,France
8813,Pilothouse,Aquabat power boats,"Used boat,Unleaded",2016,30000,5.95,2.3,GRP,151,Italy
8814,Cabin Boat,Saphire power boats,"Used boat,Unleaded",2001,30000,8.05,2.3,GRP,303,Germany
8816,Motor Yacht,Fjord power boats,"Used boat,Diesel",1974,30000,11.81,3.7,GRP,167,Croatia
8817,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1997,30000,9.0,2.0,GRP,190,Croatia
8818,Cabin Boat,,Used boat,2001,30000,7.85,2.6,Steel,120,Netherlands
8819,Sport Boat,Saver power boats,"Used boat,Unleaded",2010,30000,6.98,2.53,GRP,127,Italy
