,Boat Type,Manufacturer,Type,Year Built,Price (EUR),Length,Width,Material,Number of views last 7 days,Location
1203,Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",2012,63800,6.1,2.59,GRP,712,Switzerland
1204,Sport Boat,Regal power boats,"Used boat,Unleaded",2016,63800,6.75,2.5,GRP,860,Switzerland
1209,Sport Boat,Viper power boats,"Used boat,Unleaded",2012,59900,7.25,2.57,GRP,188,Germany
1210,Cabin Boat,Nordkapp power boats,"new boat on order,Unleaded",2019,59900,6.5,2.5,,136,Germany
1211,Motor Yacht,Rinker power boats,Used boat,2006,59900,9.5,2.74,GRP,141,Croatia
1216,Motor Yacht,Maxum power boats,"Used boat,Unleaded",2000,59900,10.85,3.38,GRP,122,Germany
1218,Fishing Boat,Egon Bredgaard power boats,"Used boat,Diesel",2017,59900,7.0,2.9,GRP,181,Germany
1219,Cabin Boat,Stingray power boats,new boat from stock,2019,59900,6.3,2.5,GRP,177,Germany
1220,Motor Yacht,Gruno power boats,"Used boat,Diesel",1990,59900,10.5,3.55,Steel,152,Germany
1223,Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,60040,6.55,2.54,GRP,137,Germany
1224,Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,60040,6.55,2.54,GRP,112,Germany
1225,Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,60040,6.55,2.54,GRP,170,Germany
1227,Flybridge,Bertram power boats,"Used boat,Diesel",1974,60000,10.73,4.39,GRP,158,Italy
1230,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2009,60000,8.5,2.99,,157,Italy
1231,Flybridge,Princess power boats,"Used boat,Diesel",1988,60000,11.6,3.96,GRP,173,Croatia
1233,Flybridge,Nimbus power boats,"Used boat,Diesel",1992,60000,9.9,3.2,PVC,192,France
1235,Motor Yacht,Diano power boats,Used boat,2003,60000,23.9,6.1,Wood,677,Italy
1236,Cabin Boat,Colombo power boats,Used boat,1978,60000,9.4,3.0,GRP,145,Italy
1238,House Boat,,"Used boat,Unleaded",2013,62000,10.0,4.0,Aluminium,187,Germany
1250,Bowrider,Regal power boats,"new boat from stock,Unleaded",2021,61713,6.1,2.5,GRP,110,Germany
1251,Cabin Boat,Baess power boats,"Used boat,Diesel",1978,66000,8.5,3.3,GRP,397,Switzerland
1254,Motor Yacht,Windy power boats,"Used boat,Unleaded",1988,68000,10.5,3.0,GRP,204,Switzerland
1255,Sport Boat,Viper power boats,"new boat from stock,Unleaded",2020,68448,6.8,2.55,GRP,294,Switzerland
1257,Pilothouse,Parker power boats,"new boat from stock,Unleaded",2019,63006,6.45,2.47,GRP,248,Switzerland
1259,Motor Yacht,Storebro power boats,"Used boat,Diesel",1987,63000,12.09,3.8,GRP,149,Italy
1260,Motor Yacht,Storebro power boats,"Used boat,Diesel",1987,63000,12.09,3.8,GRP,156,Italy
1264,Motor Yacht,,"Used boat,Unleaded",2009,63000,9.18,3.18,GRP,131,Italy
1265,Cabin Boat,Bruno Abbate power boats,"Used boat,Diesel",2004,63000,10.54,3.38,GRP,109,Italy
1268,Motor Yacht,Fairline power boats,"Used boat,Unleaded",1993,64500,11.05,3.49,GRP,164,Germany
1269,House Boat,,"Used boat,Diesel",1927,64500,16.26,3.1,Steel,106,Netherlands
1271,Motor Yacht,,"Used boat,Diesel",1981,64500,10.72,3.68,GRP,225,Germany
1272,Cabin Boat,Saver power boats,"Used boat,Unleaded",2020,64490,7.1,2.53,GRP,236,Germany
1279,Sport Boat,Crownline power boats,"Used boat,Unleaded",2006,69000,8.74,2.59,GRP,372,Switzerland
1280,Sport Boat,Galia power boats,"new boat from stock,Unleaded",2018,69500,6.94,2.57,GRP,192,Switzerland
1281,Sport Boat,Viper power boats,"new boat from stock,Unleaded",2020,69500,6.95,2.55,GRP,166,Switzerland
1285,Motor Yacht,BÃ©nÃ©teau power boats,Used boat,2005,65000,9.8,3.11,GRP,129,Italy
1286,Motor Yacht,Pedro power boats,"Used boat,Diesel",1990,65000,10.5,3.4,,132,Germany
1287,"Classic,Motor Yacht",Colombo power boats,"Used boat,Diesel",1991,65000,10.8,3.15,GRP,331,Italy
1288,Motor Yacht,,"Used boat,Diesel",2004,65000,9.83,3.2,GRP,127,Italy
1289,Trawler,Pedro power boats,Diesel,1979,65000,10.5,3.3,Steel,112,Germany
1291,Sport Boat,MasterCraft power boats,"Used boat,Unleaded",2015,65000,6.09,2.47,GRP,271,Oder
1292,Trawler,Brandsma power boats,Used boat,1988,65000,10.4,3.6,,109,Netherlands
1293,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1993,65000,12.8,4.0,GRP,685,Austria
1294,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2015,65000,9.31,2.99,GRP,744,Spain
1297,Motor Yacht,Fairline power boats,"Used boat,Diesel",1994,65000,10.43,3.36,GRP,113,Italy
1299,Motor Yacht,Bayliner power boats,"Used boat,Unleaded",1993,65000,9.59,3.35,GRP,110,Spain
1305,"Classic,Flybridge",Sanlorenzo power boats,"Used boat,Diesel",1979,65000,15.0,4.3,Wood,246,Italy
1306,Motor Yacht,,"Used boat,Diesel",1991,65000,11.58,4.26,GRP,104,Croatia
1307,Flybridge,HI-Star power boats,"Used boat,Diesel",1992,65000,16.4,4.99,GRP,323,Italy
1308,Motor Yacht,Bruno Abbate power boats,"Used boat,Diesel",2002,65000,10.54,3.38,GRP,109,Italy
1310,Sport Boat,Formula power boats,"Used boat,Diesel",2008,65000,10.5,3.1,PVC,103,France
1311,Deck Boat,,"Used boat,Diesel",2004,65000,10.5,3.6,Wood,103,Italy
1318,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,65990,8.23,2.79,GRP,179,Germany
1319,Sport Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,65990,7.48,2.55,GRP,244,Germany
1320,Sport Boat,Marinello power boats,"new boat from stock,Unleaded",2018,65900,7.65,2.5,GRP,106,Germany
1327,Motor Yacht,Maxum power boats,"Used boat,Diesel",2008,67900,8.13,2.59,GRP,222,Belgium
1329,Working Boat,,"Used boat,Diesel",1927,67750,17.36,3.6,Steel,106,Netherlands
1330,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",2006,72500,6.0,2.2,Wood,316,Switzerland
1331,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2008,67500,9.0,3.0,GRP,102,Croatia
1332,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2012,67500,8.91,2.96,PVC,119,France
1335,Trawler,,Used boat,1980,67500,13.3,4.1,Steel,108,Netherlands
1336,Sport Boat,Cormate power boats,"Display Model,Unleaded",2017,72900,7.1,2.26,GRP,163,Switzerland
1337,Pilothouse,AluForce power boats,new boat from stock,2020,67300,8.7,2.55,Aluminium,162,Germany
1338,Bowrider,Tahoe power boats,"new boat on order,Unleaded",2021,72700,6.4,2.55,GRP,205,Switzerland
1339,"Flybridge,Pilothouse",Princess power boats,"Used boat,Diesel",1985,72000,10.7,3.68,GRP,460,Faoug
1340,Sport Boat,Ganz Boats power boats,Used boat,2017,67000,6.8,2.35,,123,Italy
1341,Flybridge,President power boats,"Used boat,Diesel",1991,69000,16.07,4.5,PVC,196,France
1344,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2005,68900,10.0,3.0,GRP,210,Croatia
1345,Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,68900,7.62,2.53,GRP,144,Germany
1348,Cabin Boat,Nor Star power boats,Used boat,1997,68900,9.46,3.3,GRP,148,Netherlands
1351,Sport Boat,Invictus power boats,"Used boat,Unleaded",2016,68700,8.1,2.7,PVC,117,France
1352,Flybridge,Galeon power boats,"Used boat,Diesel",1999,68600,8.86,3.0,GRP,190,Beilngries
1353,Motor Yacht,Piantoni (IT) power boats,"Used boat,Diesel",1988,69000,13.5,4.6,GRP,160,Italy
1355,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2007,69000,8.95,2.98,GRP,225,Croatia
1356,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2001,69000,11.21,3.49,GRP,173,Portugal
1361,Deck Boat,Bella power boats,"Used boat,Diesel",2008,69000,7.0,2.0,GRP,150,Croatia
1365,Flybridge,Alpa power boats,"Used boat,Diesel",1998,69000,10.0,3.65,GRP,107,Croatia
1366,Motor Yacht,Cigarette power boats,"Used boat,Unleaded",1994,69000,11.6,2.44,GRP,114,Spain
1367,Sport Boat,Viper power boats,Used boat,2014,69000,7.25,2.57,,180,Belgium
1369,Sport Boat,Finnmaster power boats,"Used boat,Unleaded",2019,69900,7.1,2.59,,167,Germany
1370,Motor Yacht,Pedro power boats,"Used boat,Diesel",1993,69900,10.3,3.5,Steel,140,Germany
1371,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2007,69900,8.95,2.98,GRP,268,Germany
1373,Deck Boat,Uttern power boats,"new boat from stock,Unleaded",2019,75521,6.28,2.45,GRP,113,Switzerland
1375,Pilothouse,Northshore Yachts power boats,"Used boat,Diesel",1980,74950,7.78,2.85,GRP,270,Switzerland
1379,Cabin Boat,Invictus power boats,"new boat from stock,Unleaded",2020,69750,7.75,2.5,GRP,163,Switzerland
1380,Cabin Boat,Ilver power boats,Used boat,2001,74800,11.82,3.45,GRP,327,Switzerland
1381,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2004,69700,11.25,3.54,,180,Italy
1382,Center console boat,Sessa power boats,new boat from stock,2020,69700,7.0,2.5,GRP,113,Italy
1384,Trawler,De Boarnstream power boats,Used boat,1996,70000,10.1,3.55,Steel,121,Netherlands
1388,Motor Yacht,ManÃ² power boats,"Used boat,Diesel",2006,70000,11.0,3.2,GRP,103,Italy
1391,Motor Yacht,Aquador power boats,"Used boat,Diesel",2004,70000,8.25,3.05,GRP,307,Germany
1394,Cabin Boat,Capelli power boats,"Used boat,Unleaded",2009,70000,9.6,3.0,GRP,147,Italy
1395,Cabin Boat,Regal power boats,"Used boat,Unleaded",2009,70000,8.5,3.2,GRP,177,Italy
1396,Pontoon Boat,Tornado power boats,Used boat,1989,70000,11.0,3.86,GRP,355,Italy
1400,Motor Yacht,Viper power boats,"new boat from stock,Unleaded",2020,77154,7.25,2.57,GRP,230,Switzerland
1404,Pilothouse,Salpa power boats,"new boat from stock,Unleaded",2020,76900,7.6,2.53,GRP,166,Switzerland
1412,Offshore Boat,Off-Course power boats,"Used boat,Diesel",1995,76500,13.8,3.85,GRP,274,Switzerland
1415,Pilothouse,Parker power boats,"new boat from stock,Unleaded",2019,73000,7.69,2.5,GRP,155,Slovenia
1417,Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Diesel",2004,73000,11.63,3.7,GRP,209,Italy
1418,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2001,72900,11.25,3.54,GRP,101,Belgium
1421,Wakeboard/Wakesurf,Moomba power boats,"Used boat,Unleaded",2019,78800,6.22,2.55,GRP,434,Switzerland
1422,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,78750,7.88,2.55,GRP,271,Switzerland
1424,Flybridge,Princess power boats,"Used boat,Diesel",1986,72500,13.58,4.17,GRP,112,Portugal
1426,Motor Yacht,Ocqueteau power boats,"Used boat,Diesel",2005,72500,9.75,3.4,GRP,127,Germany
1429,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2008,74500,9.6,2.99,PVC,182,Netherlands
1430,Motor Yacht,,Used boat,1980,74500,14.5,3.9,Aluminium,142,Netherlands
1431,Trawler,,Used boat,1972,74500,11.6,3.45,Steel,122,Netherlands
1433,Classic,Rapsody power boats,Used boat,2001,74500,8.74,2.45,,149,Netherlands
1438,Flybridge,,"Used boat,Diesel",1995,67500,13.41,4.27,,113,United
1439,Pilothouse,Sea Ray power boats,"Used boat,Unleaded",2000,80000,10.2,3.48,GRP,200,Switzerland
1440,Sport Boat,Windy power boats,Used boat,2000,80000,8.4,2.6,GRP,455,Switzerland
1441,"Flybridge,Motor Yacht",Condor Yachting power boats,"Used boat,Diesel",1988,80000,12.0,3.55,Steel,422,Switzerland
1442,Motor Yacht,Sunseeker power boats,"Used boat,Unleaded",1999,80000,13.15,3.3,GRP,331,Switzerland
1444,Working Boat,,Used boat,1929,74000,16.23,4.15,Steel,119,Netherlands
1445,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2003,75000,10.34,3.49,GRP,144,Croatia
1448,"Classic,Working Boat",,"Used boat,Diesel",2002,75000,8.75,2.4,Wood,183,Italy
1450,Motor Yacht,Apreamare power boats,"Used boat,Diesel",2004,75000,9.6,3.3,GRP,434,Italy
1451,Flybridge,,"Used boat,Diesel",1999,75000,10.0,3.46,GRP,167,Italy
1452,Cabin Boat,Absolute power boats,"Used boat,Diesel",2006,75000,10.95,3.95,,472,Italy
1453,"Cabin Boat,Sport Boat",Bella power boats,"Used boat,Diesel",2002,75000,8.17,2.6,GRP,186,Germany
1455,Flybridge,Viking Marin power boats,"Used boat,Diesel",2001,75000,10.0,3.5,GRP,253,Germany
1456,Hardtop,Fairline power boats,"Used boat,Diesel",1996,75000,11.92,3.54,GRP,138,Portugal
1457,Center console boat,Gagliotta power boats,Used boat,2004,75000,10.3,3.5,GRP,103,Italy
1458,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2003,75000,11.95,3.5,GRP,236,Portugal
1459,Pilothouse,Nimbus power boats,"Used boat,Diesel",2003,75000,8.0,2.0,GRP,175,Croatia
1460,House Boat,,"Used boat,Diesel",1956,75000,19.99,4.95,Steel,166,Netherlands
1462,Trawler,Gillissen power boats,"Used boat,Diesel",1978,75000,13.65,4.05,Steel,162,Netherlands
1464,Motor Yacht,Italcraft power boats,"Used boat,Diesel",1990,75000,15.12,4.38,GRP,113,Portugal
1467,Motor Yacht,Fairline power boats,"Used boat,Diesel",1991,75000,12.15,4.2,GRP,124,Spain
1468,Pilothouse,Rhea power boats,"Used boat,Diesel",2008,75000,9.25,3.1,PVC,158,France
1474,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2009,75000,9.95,3.36,PVC,105,France
1475,"Classic,Runabout",Boesch power boats,Used boat,1990,83500,5.9,2.12,Wood,370,Switzerland
1478,Sport Boat,AMT power boats,"new boat from stock,Unleaded",2019,83450,6.8,2.4,GRP,176,Switzerland
1479,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2003,77000,11.75,3.84,,109,Italy
1484,Sport Boat,Sealine power boats,"Used boat,Diesel",2007,77000,9.36,3.2,,179,Croatia
1485,Offshore Boat,Cigarette power boats,"Used boat,Unleaded",1996,77000,11.58,2.49,,280,Italy
1488,Pilothouse,Jeanneau power boats,Used boat,2013,69950,8.71,3.02,PVC,116,United
1491,Classic,,"Used boat,Diesel",1958,78800,11.2,2.55,Wood,322,Netherlands
1492,Bowrider,Draco power boats,"new boat from stock,Unleaded",2019,85000,6.68,2.4,,205,Switzerland
1493,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2018,85000,7.7,2.54,GRP,183,Switzerland
1494,Cabin Boat,Aquanaut power boats,"Used boat,Diesel",1992,85000,10.2,3.3,Steel,336,Switzerland
1497,Deck Boat,Sessa power boats,"new boat from stock,Unleaded",2020,78500,8.0,2.64,GRP,145,Italy
1499,Sport Boat,Grginic power boats,"Used boat,Diesel",2018,78500,9.0,3.0,GRP,201,Croatia
1500,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1969,84500,6.4,2.25,Wood,360,Switzerland
1501,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2021,84329,6.4,2.5,GRP,128,Switzerland
1505,Offshore Boat,,Used boat,2011,79000,9.93,2.64,,113,Italy
1506,Trawler,,"Used boat,Diesel",2013,79000,10.75,3.05,Steel,111,Italy
1508,Flybridge,Princess power boats,"Used boat,Diesel",2000,79000,12.67,3.96,PVC,145,France
1511,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2004,79000,10.34,3.5,GRP,229,Italy
1517,Motor Yacht,Inter power boats,"Used boat,Diesel",2003,79000,9.3,3.15,GRP,252,Germany
1520,Sport Boat,Formula power boats,"Used boat,Unleaded",2007,79900,9.45,2.9,GRP,226,Finland
1522,Motor Yacht,Wim van der Valk power boats,"Used boat,Diesel",1978,79900,13.5,4.25,Steel,189,Netherlands
1526,Pilothouse,Arvor power boats,"Used boat,Diesel",2012,79900,8.6,2.96,GRP,221,Sweden
1528,Sport Boat,Invictus power boats,"Display Model,Unleaded",2019,79800,7.45,2.5,GRP,206,Switzerland
1532,Sport Boat,Flipper power boats,"Display Model,Unleaded",2019,86000,6.7,2.48,GRP,180,Switzerland
1533,Cabin Boat,Saver power boats,"new boat from stock,Unleaded",2020,79550,7.75,2.55,GRP,109,Germany
1534,Offshore Boat,Sunseeker power boats,"Used boat,Diesel",1998,72495,10.36,3.1,GRP,127,United
1537,Flybridge,Ferretti power boats,"Used boat,Diesel",1990,80000,14.51,4.35,GRP,193,Spain
1540,Center console boat,Cranchi power boats,Used boat,2006,80000,12.2,3.84,GRP,120,Italy
1542,Motor Yacht,Maxum power boats,"Used boat,Diesel",2005,80000,10.67,3.71,GRP,113,Montenegro
1544,Hardtop,Bavaria power boats,"Used boat,Unleaded",2007,80000,10.2,3.2,GRP,148,Italy
1549,Trawler,,"Used boat,Diesel",1992,80000,11.5,3.6,Steel,118,Germany
1550,Cabin Boat,Sessa power boats,"Used boat,Unleaded",2006,80000,10.6,3.53,GRP,225,Italy
1551,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2002,80000,12.19,3.05,GRP,120,Malta
1552,Sport Boat,Windy power boats,"Used boat,Unleaded",2003,89500,9.39,2.95,GRP,363,Switzerland
1553,House Boat,HT Houseboats power boats,Display Model,2017,82500,10.11,4.5,,268,Germany
1554,Trawler,Super van Craft power boats,Used boat,1972,82500,13.85,3.68,Steel,146,Netherlands
1555,Classic,Super van Craft power boats,Used boat,1965,82500,14.35,4.15,Steel,179,Netherlands
1557,House Boat,,new boat from stock,2020,82350,9.0,2.5,Aluminium,207,Netherlands
1558,Trawler,Linssen power boats,"Used boat,Diesel",1990,89000,9.7,3.2,Steel,351,Switzerland
1559,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1989,89000,6.8,2.35,Wood,297,Switzerland
1560,Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",2015,89000,6.93,2.59,GRP,728,Lake
1562,Motor Yacht,,"Used boat,Diesel",2001,82000,12.5,3.9,,197,Italy
1564,Motor Yacht,Chaparral power boats,"Used boat,Diesel",2007,82000,11.2,3.61,GRP,106,Spain
1567,Cabin Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,84950,6.84,2.45,GRP,304,Germany
1569,Motor Yacht,Boston Whaler power boats,"Used boat,Unleaded",2009,84900,9.0,3.0,GRP,140,Croatia
1570,Trawler,Zijlmans power boats,Used boat,1995,84900,13.0,4.0,Steel,183,Netherlands
1572,Sport Boat,Jeanneau power boats,"Used boat,Unleaded",2016,84900,7.95,2.92,GRP,170,Germany
1575,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1994,84500,13.72,1.01,GRP,152,Spain
1578,Trawler,Pedro power boats,Used boat,1998,84500,11.2,3.4,Steel,103,Netherlands
1579,Launch,Makma power boats,"Used boat,Diesel",2003,84500,9.3,3.3,GRP,110,Netherlands
1580,Sport Boat,Viper power boats,"new boat from stock,Unleaded",2020,90909,8.1,2.55,GRP,336,Switzerland
1585,Center console boat,Itama power boats,"Used boat,Diesel",1981,85000,11.68,3.76,,109,Italy
1587,Motor Yacht,Fairline power boats,"Used boat,Diesel",1994,85000,11.46,3.57,,191,Italy
1593,Motor Yacht,SAS-Vektor power boats,"Used boat,Diesel",2006,85000,10.0,2.0,GRP,112,Croatia
1594,Fishing Boat,Albemarle power boats,"Used boat,Diesel",2002,85000,9.81,8.99,GRP,107,Italy
1597,Motor Yacht,Sagemar power boats,Used boat,2004,85000,11.9,3.9,GRP,162,Italy
1599,Launch,Makma power boats,Used boat,2008,87000,10.5,3.35,GRP,105,Netherlands
1600,Sport Boat,BÃ©nÃ©teau power boats,new boat from stock,2020,86990,9.0,2.94,GRP,106,France
1604,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2020,86790,6.8,2.5,GRP,143,Germany
1607,Water ski,Nautique power boats,"new boat on order,Unleaded",2020,86500,6.65,2.41,GRP,123,Germany
1608,Motor Yacht,Parker power boats,"new boat from stock,Unleaded",2019,86449,8.3,2.8,GRP,138,Germany
1609,Pilothouse,Bayliner power boats,"new boat from stock,Unleaded",2020,93210,7.49,2.55,GRP,327,Switzerland
1610,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",2007,92500,5.99,2.18,Wood,230,Switzerland
1611,Sport Boat,Chris Craft power boats,"Used boat,Unleaded",2006,92500,9.0,3.05,GRP,485,Switzerland
1612,Sport Boat,Salpa power boats,"new boat on order,Unleaded",2020,93000,7.65,2.54,GRP,256,Switzerland
1614,Sport Boat,Salpa power boats,new boat from stock,2018,93000,7.6,2.53,GRP,197,Switzerland
1615,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2004,88900,10.0,3.0,GRP,111,Croatia
1616,Runabout,Ganz Boats power boats,"Display Model,Unleaded",2019,96000,6.8,2.35,GRP,173,Switzerland
1617,"Classic,Sport Boat",Frauscher power boats,Used boat,2010,96000,7.57,2.25,GRP,369,Switzerland
1618,Sport Boat,Windy power boats,"Used boat,Diesel",2003,96000,8.42,2.62,GRP,457,Switzerland
1619,Sport Boat,Windy power boats,"Used boat,Unleaded",2002,96000,9.39,2.95,GRP,383,Switzerland
1620,Motor Yacht,Amer power boats,Used boat,2010,88750,8.7,2.5,GRP,108,Netherlands
1621,Pilothouse,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,95940,6.99,2.72,GRP,191,Switzerland
1623,Sport Boat,Sessa power boats,"new boat from stock,Unleaded",2019,88658,7.67,2.43,GRP,193,Switzerland
1624,Motor Yacht,Four Winns power boats,"Used boat,Unleaded",2003,95000,9.5,3.2,GRP,471,Switzerland
1627,Motor Yacht,Glastron power boats,"Used boat,Unleaded",2016,95500,7.67,2.55,GRP,711,Switzerland
1628,Sport Boat,Four Winns power boats,new boat from stock,2019,95307,6.58,2.55,GRP,199,Switzerland
1629,Motor Yacht,Rio power boats,"Used boat,Diesel",1996,88000,14.27,4.25,GRP,103,Italy
1630,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2010,88000,8.36,2.95,PVC,124,Cyprus
1633,Motor Yacht,Sunseeker power boats,Used boat,1991,89000,13.1,3.3,,199,Spain
1634,Trawler,,Used boat,1965,89000,26.0,6.0,Steel,137,Netherlands
1635,Hardtop,Bavaria power boats,"Used boat,Unleaded",2008,89000,10.45,3.45,,229,Italy
1636,Pilothouse,Rhea power boats,"Used boat,Diesel",2004,89000,10.25,3.5,PVC,145,France
1639,Motor Yacht,Pikmeerkruiser power boats,"Used boat,Diesel",1991,89000,12.5,4.0,Steel,122,Netherlands
1645,Pilothouse,Aquador power boats,Used boat,2009,89000,8.8,3.1,GRP,135,Netherlands
1646,Flybridge,Sciallino power boats,"Used boat,Diesel",2003,89000,10.61,3.3,GRP,124,Italy
1647,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2007,89900,12.0,3.0,GRP,186,Croatia
1648,Motor Yacht,Bavaria power boats,new boat from stock,2018,89900,8.76,2.99,,296,Italy
1650,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2001,89900,12.5,3.5,GRP,232,Netherlands
1651,Sport Boat,Chris Craft power boats,Used boat,2014,89900,8.13,2.6,,220,Croatia
1653,Hardtop,Bavaria power boats,"Used boat,Unleaded",2007,89900,10.2,3.2,GRP,222,Germany
1655,Flybridge,Neptunus power boats,"Used boat,Diesel",1990,89900,13.8,4.4,PVC,156,Netherlands
1657,Pilothouse,Stickl power boats,"new boat from stock,Electric",2020,89650,7.3,2.3,GRP,104,Germany
1659,Wakeboard/Wakesurf,Centurion power boats,"Used boat,Unleaded",2018,96900,6.4,2.59,GRP,316,Switzerland
1660,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2021,96856,6.25,2.5,GRP,218,Switzerland
1663,Pilothouse,Bella power boats,"new boat from stock,Unleaded",2019,99000,6.65,2.6,GRP,163,Switzerland
1665,"Classic,Pontoon Boat",Giudecca power boats,"Used boat,Unleaded",1993,98000,7.56,2.31,GRP,164,Switzerland
1666,"Classic,Pontoon Boat,Trawler",Giudecca power boats,"Used boat,Unleaded",1993,98000,7.56,2.0,GRP,282,Switzerland
1668,Trawler,De Boarnstream power boats,"Used boat,Diesel",1991,98500,9.4,3.4,Steel,200,Switzerland
1670,House Boat,,Used boat,2020,90750,11.0,4.2,,229,Netherlands
1672,Wakeboard/Wakesurf,Moomba power boats,"Display Model,Unleaded",2020,97800,6.53,2.59,GRP,267,Switzerland
1673,Sport Boat,Cranchi power boats,"new boat from stock,Unleaded",2019,90282,7.8,2.49,PVC,180,Portugal
1679,"Sport Boat,Wakeboard/Wakesurf,Water ski",Tony Giugliano power boats,"Used boat,Unleaded",2011,95000,8.25,2.56,GRP,801,Germany
1680,Motor Yacht,Jeanneau power boats,"Used boat,Unleaded",2017,94900,8.72,2.99,GRP,107,Spain
1682,Trawler,American Marine power boats,"Used boat,Diesel",1976,94800,12.9,3.8,GRP,198,Germany
1683,Trawler,Linssen power boats,"Used boat,Diesel",1991,94750,10.3,3.55,Steel,128,Netherlands
1689,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2003,94000,11.95,3.5,GRP,128,Germany
1690,Motor Yacht,Linssen power boats,"Used boat,Diesel",1993,94000,11.5,3.6,Steel,150,Germany
1692,Motor Yacht,Bavaria power boats,new boat from stock,2018,93900,8.5,2.99,,136,Italy
1696,Motor Yacht,Platinum power boats,"Used boat,Diesel",2006,95000,12.3,3.8,,145,Italy
1697,Flybridge,Uniesse power boats,"Used boat,Diesel",1997,95000,14.0,4.6,,126,Italy
1699,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2006,95000,11.4,3.5,GRP,109,Croatia
1705,Flybridge,Carver power boats,"Used boat,Diesel",1992,95000,10.1,3.92,GRP,107,Spain
1708,Hardtop,Stama power boats,"Used boat,Diesel",2006,95000,11.99,3.6,GRP,150,Italy
1709,Bowrider,Glastron power boats,"new boat from stock,Unleaded",2019,97733,8.0,2.54,GRP,273,Switzerland
1710,Sport Boat,Cormate power boats,"new boat from stock,Unleaded",2019,97650,7.11,2.27,GRP,227,Switzerland
1711,Cabin Boat,Stingray power boats,"new boat from stock,Unleaded",2019,97631,7.6,2.56,GRP,258,Germany
1712,Bowrider,Regal power boats,"new boat from stock,Unleaded",2020,97625,7.3,2.5,GRP,163,Germany
1715,Motor Yacht,Succes power boats,Used boat,2000,97500,10.8,3.65,,121,Germany
1721,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2002,97000,12.5,3.7,GRP,329,Germany
1723,Trawler,,Used boat,1988,97000,12.5,3.75,Steel,107,Netherlands
1727,Sport Boat,Fairline power boats,"Used boat,Diesel",2001,89950,10.67,3.35,PVC,126,United
1728,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2004,98500,11.0,3.0,GRP,181,Croatia
1729,House Boat,,Used boat,2015,98500,12.0,6.0,Aluminium,154,Italy
1732,Cabin Boat,Bruno Abbate power boats,"Used boat,Unleaded",1999,98500,11.14,3.38,GRP,112,Germany
1736,Cabin Boat,Eolo power boats,new boat from stock,2020,98300,8.3,2.55,GRP,150,Germany
1741,Motor Yacht,Princess power boats,"Used boat,Diesel",2000,99000,13.15,3.73,GRP,138,Croatia
1742,Hardtop,Bavaria power boats,"Used boat,Unleaded",2009,99000,11.95,3.85,,145,Italy
